PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P02494,Karapakkam,830,23-09-2011,193,1.0,1.0,2,Family,Yes,25-09-2000,House,NoSeWa,Paved,RL,2.3,3.1,2.5,2.62,283370,70843,7084250
P05451,Karapakkam,588,21-02-2010,163,1.0,1.0,2,Partial,No,27-02-1986,Others,AllPub,Paved,RL,4.9,4.2,3.5,4.13,228220,57055,5705500
P04624,Karapakkam,1516,29-07-2010,62,2.0,2.0,4,Family,Yes,03-08-1989,Commercial,NoSewr ,Gravel,C,4.2,2.5,3.2,3.29,346313,253963,11543750
P02927,Adyar,1144,28-06-2011,81,1.0,1.0,3,Partial,Yes,02-07-1993,House,AllPub,No Access,RH,4.3,2.1,3.1,3.26,305818,96114,8737670
P00322,T Nagar,1793,05-07-2014,141,1.0,1.0,4,Normal Sale,Yes,08-07-2002,House,NoSewr ,Paved,RH,4.2,4.6,3.4,3.94,453748,77785,12964240
P00800,Chrompet,1211,14-07-2013,12,2.0,1.0,4,Normal Sale,No,18-07-1996,Others,NoSewr ,Gravel,RL,4.3,2.9,2.6,3.23,257196,102878,10287820
P03479,Anna Nagar,1772,19-03-2011,57,1.0,1.0,4,AdjLand,No,25-03-1984,Commercial,ELO,Paved,RM,3.5,4.4,3.9,3.885,508367,203347,20334690
P07501,Chrompet,916,21-10-2008,109,1.0,1.0,3,AbNormal,No,25-10-1992,House,AllPub,No Access,RL,2.2,2.0,3.8,2.6,212274,87838,7319800
P07935,Velachery,1856,18-06-2008,22,3.0,2.0,5,AdjLand,Yes,22-06-1993,Others,ELO,Paved,I,2.9,3.7,3.1,3.32,362132,98763,10973700
P05069,Chrompet,870,05-05-2010,83,1.0,1.0,3,AdjLand,No,10-05-1989,House,ELO,No Access,RL,4.8,3.9,3.3,3.99,202579,36175,7234950
P04753,Velachery,1658,04-07-2010,143,2.0,1.0,4,AdjLand,No,07-07-1997,Commercial,AllPub,Paved,I,5.0,2.4,3.7,3.44,495168,192565,13754660
P08696,Adyar,1191,17-09-2007,152,1.0,1.0,3,Partial,No,22-09-1984,Others,NoSeWa,Paved,C,3.6,4.7,3.3,3.67,263226,100645,7741945
P05945,Karapakkam,1640,23-11-2009,3,2.0,2.0,4,AbNormal,No,28-11-1988,Commercial,ELO,Gravel,C,3.7,3.0,2.1,2.85,418067,88014,11001750
P04227,Karapakkam,704,12-10-2010,128,1.0,1.0,2,AdjLand,Yes,21-10-1972,House,AllPub,No Access,RM,4.8,2.1,2.9,3.23,264689,146276,6965500
P00526,Chrompet,1010,02-02-2014,139,1.0,1.0,3,AbNormal,Yes,06-02-1998,House,NoSewr ,Paved,RM,3.2,2.2,2.5,2.59,263871,107503,9773000
P08940,Chrompet,1055,11-06-2007,72,1.0,1.0,3,AbNormal,Yes,17-06-1980,House,AllPub,Paved,RM,3.5,4.8,3.8,4.11,330437,160212,10013250
P02011,Anna Nagar,1671,27-12-2011,20,1.0,1.0,4,Family,Yes,30-12-1997,Commercial,NoSewr ,No Access,RH,3.7,4.3,4.3,4.09,538489,167117,18568580
P02759,KK Nagar,1723,04-08-2011,35,2.0,1.0,4,Normal Sale,Yes,05-08-2005,House,AllPub,Gravel,RL,2.3,2.7,5.0,3.5,518214,247841,11265520
P01168,Anna Nagar,1707,18-11-2012,133,1.0,1.0,4,AbNormal,No,29-11-1970,Commercial,NoSewr ,No Access,RH,3.8,3.1,2.1,2.945,607726,173636,17363590
P00183,Chrompet,724,13-10-2014,149,1.0,1.0,2,Normal Sale,Yes,20-10-1986,Others,AllPub,Paved,RL,4.5,2.0,4.8,3.59,252386,109367,8412880
P06997,Velachery,1924,28-03-2009,121,3.0,2.0,5,Normal Sale,Yes,03-04-1984,House,NoSewr ,Paved,RL,3.4,2.2,3.0,2.74,443836,233014,11095900
P01952,Chrompet,920,09-01-2012,87,1.0,1.0,3,AbNormal,No,18-01-1975,Others,ELO,Paved,RM,2.4,5.0,3.8,3.86,230098,102266,8522150
P06407,Velachery,1863,25-08-2009,58,3.0,2.0,5,AbNormal,No,03-09-1975,Others,AllPub,No Access,A,3.4,4.6,2.2,3.58,312433,117162,7810830
P00425,Chrompet,991,25-04-2014,114,1.0,1.0,3,AbNormal,No,01-05-1989,Others,AllPub,Paved,RL,3.6,3.7,2.9,3.43,243276,104261,8688420
P05367,Velachery,1563,09-03-2010,57,2.0,1.0,4,Normal Sale,Yes,12-03-1998,Commercial,AllPub,Paved,RM,4.1,4.7,2.7,3.95,563931,156647,15664740
P10014,Velachery,1978,14-03-2004,20,3.0,2.0,5,Partial,Yes,27-03-1955,Others,NoSeWa,No Access,RL,4.5,3.3,2.7,3.42,385174,192587,10699280
P08364,T Nagar,1760,28-01-2008,173,1.0,1.0,4,Family,Yes,04-02-1979,Commercial,ELO,Paved,RH,4.3,2.6,3.2,3.38,544051,233165,19430380
P03542,Velachery,1536,05-03-2011,37,2.0,1.0,4,Family,Yes,12-03-1982,Commercial,ELO,No Access,RH,3.2,3.7,5.0,3.97,517869,220094,12946730
P03825,Karapakkam,1434,05-01-2011,166,2.0,2.0,4,Family,No,14-01-1974,House,AllPub,Paved,RH,2.7,2.4,4.6,3.37,253251,84417,7034750
P02238,Karapakkam,1042,08-11-2011,82,1.0,1.0,3,AdjLand,Yes,17-11-1972,House,ELO,Paved,I,3.0,3.4,2.7,3.0,318463,82800,6369250
P05494,Karapakkam,520,14-02-2010,189,1.0,1.0,2,Partial,Yes,25-02-1966,House,ELO,Paved,I,2.5,3.5,2.6,2.84,151235,43210,4321000
P06608,Adyar,635,15-07-2009,186,1.0,1.0,2,Normal Sale,Yes,19-07-1993,House,NoSeWa,No Access,C,4.5,4.2,4.3,4.34,223890,72764,5597240
P06340,Karapakkam,1213,10-09-2009,22,1.0,1.0,3,Normal Sale,No,18-09-1976,House,NoSeWa,Paved,RL,2.8,3.6,3.9,3.48,325158,117610,6918250
P01431,Chrompet,1277,10-05-2012,38,2.0,1.0,4,AbNormal,Yes,19-05-1978,House,AllPub,Paved,RL,4.1,2.3,4.4,3.47,324803,60901,10150100
P02677,Adyar,730,19-08-2011,185,1.0,1.0,2,AdjLand,Yes,28-08-1972,House,ELO,Gravel,RL,2.7,4.6,4.9,4.18,265449,53090,8848285
P09591,Velachery,1957,27-08-2006,173,3.0,2.0,5,Partial,No,29-08-1998,Commercial,ELO,Gravel,RH,5.0,4.3,4.8,4.63,625712,192527,16043910
P04137,Velachery,1783,29-10-2010,104,2.0,1.0,4,AdjLand,Yes,05-11-1982,Others,AllPub,Paved,RL,4.8,2.5,2.8,3.17,424550,247654,11793060
P04123,Chrompet,1110,02-11-2010,141,1.0,1.0,3,Family,Yes,06-11-1994,Others,AllPub,Gravel,RL,2.6,3.4,3.2,3.1,344170,75287,10755300
P00520,Chrompet,728,07-02-2014,15,1.0,1.0,2,Family,Yes,16-02-1980,House,NoSeWa,No Access,RM,3.8,4.6,4.3,4.27,190963,99301,7638500
P06513,Anna Nagar,1611,03-08-2009,32,1.0,1.0,4,Family,Yes,10-08-1981,Others,NoSewr ,Gravel,RM,4.8,2.9,2.2,3.285,472198,214636,14309040
P02726,Karapakkam,1353,10-08-2011,183,2.0,2.0,4,AbNormal,Yes,18-08-1977,Others,ELO,Paved,I,3.1,2.5,3.0,2.88,360354,172670,7507375
P02580,Anna Nagar,1910,08-09-2011,74,2.0,1.0,5,AbNormal,No,18-09-1971,Others,NoSewr ,Gravel,RL,4.5,2.9,4.0,3.9,569124,270334,14228100
P05947,Anna Nagar,1880,23-11-2009,90,2.0,1.0,5,Partial,Yes,27-11-1993,House,NoSeWa,No Access,RM,3.2,4.2,4.0,3.77,483229,214768,13423020
P09690,Velachery,1565,19-02-2006,88,2.0,1.0,4,AbNormal,Yes,29-02-1968,Commercial,AllPub,Gravel,I,4.8,3.1,2.9,3.47,485622,277498,13874910
P09272,Velachery,1692,05-02-2007,52,2.0,1.0,4,Normal Sale,No,11-02-1984,House,AllPub,Gravel,RL,4.7,2.1,4.1,3.35,370480,200259,10012960
P01502,Velachery,1651,29-03-2012,100,2.0,1.0,4,Family,Yes,02-04-1996,Commercial,AllPub,Paved,C,3.8,3.8,3.1,3.59,436391,122735,13637220
P01265,T Nagar,1863,17-09-2012,188,2.0,1.0,5,Family,No,25-09-1980,Others,NoSeWa,Gravel,RL,4.3,4.9,2.5,3.64,459107,250422,13912330
P09220,Adyar,1036,20-02-2007,115,1.0,1.0,3,AbNormal,Yes,25-02-1986,Others,NoSeWa,Pavd,RL,2.1,2.7,4.7,3.52,306996,71633,10233215
P01358,Anna Nagar,1638,10-07-2012,15,1.0,1.0,4,AdjLand,Yes,17-07-1985,House,NoSeWa,No Access,RM,3.2,2.7,3.8,3.315,369106,89095,12727790
P08308,Velachery,1629,19-02-2008,164,2.0,1.0,4,Normal Sale,No,28-02-1972,Commercial,NoSeWa,Paved,RH,4.3,4.9,3.0,4.18,410580,198668,13244520
P02865,Karapakkam,884,09-07-2011,21,1.0,1.0,2,Family,No,20-07-1964,House,ELO,Paved,A,2.9,4.9,3.8,3.86,106466,61299,3226250
P05566,Karapakkam,803,02-02-2010,141,1.0,1.0,2,Normal Sale,No,14-02-1964,Commercial,AllPub,No Access,RM,3.1,4.6,2.7,3.39,280602,77945,7794500
P07901,Chrompet,934,30-06-2008,29,1.0,1.0,3,Family,No,04-07-1994,Others,NoSewr ,No Access,RH,4.3,2.0,2.1,2.72,193095,57213,7151680
P00469,Anna Nagar,1622,24-03-2014,109,1.0,1.0,4,AbNormal,Yes,28-03-1999,Others,AllPub,No Access,RL,3.4,4.4,2.9,3.45,355700,118567,13174060
P06410,Adyar,981,25-08-2009,169,1.0,1.0,3,Family,Yes,27-08-2000,Others,NoSeWa,No Access,RL,4.5,2.4,2.2,2.93,345874,56088,9347935
P09406,T Nagar,1695,20-12-2006,194,1.0,1.0,4,AdjLand,Yes,25-12-1984,House,NoSewr ,Gravel,RH,3.9,4.1,3.6,3.815,369855,92464,13209090
P05105,Chrompet,1119,30-04-2010,160,1.0,1.0,3,Partial,No,04-05-1995,House,ELO,Gravel,RM,2.8,4.1,3.8,3.62,263017,150295,9393450
P08857,Adyar,1192,23-07-2007,90,1.0,1.0,3,AbNormal,Yes,28-07-1987,House,NoSeWa,No Access,A,2.3,3.3,2.4,2.55,217211,35034,7006800
P09038,Chrompet,1225,05-05-2007,72,2.0,1.0,4,AbNormal,Yes,06-05-2001,House,NoSeWa,No Access,RL,2.6,4.3,5.0,4.0,300096,48403,9680500
P00960,Chrompet,1133,05-04-2013,198,1.0,1.0,3,AbNormal,Yes,11-04-1990,Others,AllPub,No Access,RL,2.5,4.1,2.9,3.26,243212,145927,9728460
P02789,Karapakkam,1273,26-07-2011,36,1.0,1.0,3,Family,No,02-08-1983,Commercial,AllPub,Paved,RM,4.4,2.0,2.3,2.84,485144,88208,11026000
P09268,Anna Nagar,1971,07-02-2007,72,2.0,1.0,5,AdjLand,No,17-02-1966,Commercial,ELO,No Access,RM,3.2,3.8,4.9,4.03,786861,170132,21266520
P09996,Velachery,1869,18-04-2004,36,3.0,2.0,5,AdjLand,No,29-04-1960,House,ELO,Paved,C,3.9,2.6,4.6,3.53,250314,145343,8074630
P07124,Chrompet,780,15-02-2009,41,1.0,1.0,2,AdjLand,No,22-02-1982,Others,NoSeWa,No Access,RM,2.5,2.1,4.1,2.82,222866,69165,7685050
P01522,Chrompet,1262,25-03-2012,139,2.0,1.0,4,Normal Sale,Yes,01-04-1987,Others,AllPub,Gravel,RM,4.6,2.2,2.6,3.04,314046,48315,12078690
P08776,Anna Nagar,1705,24-08-2007,51,1.0,1.0,4,AbNormal,Yes,29-08-1985,House,AllPub,No Access,RH,4.6,3.2,4.2,4.09,401654,59067,11813340
P01048,Chrompet,1114,28-01-2013,22,1.0,1.0,3,AdjLand,No,02-02-1994,Commercial,NoSeWa,Gravel,RL,3.3,3.9,3.5,3.6,420107,230381,13551850
P02255,Anna Nagar,1892,05-11-2011,143,2.0,1.0,5,Normal Sale,Yes,06-11-2005,Others,AllPub,No Access,RL,2.0,3.5,4.3,3.295,457930,192035,14771930
P02710,Adyar,1259,13-08-2011,26,2.0,2.0,4,Normal Sale,Yes,22-08-1975,Commercial,ELO,Gravel,RH,3.2,3.6,2.2,2.78,484766,106043,15148940
P06528,Karapakkam,1693,30-07-2009,187,2.0,2.0,4,Normal Sale,Yes,01-08-2003,Commercial,NoSewr ,Gravel,C,3.9,2.1,3.9,3.36,384045,166420,12801500
P01597,Karapakkam,991,11-03-2012,189,1.0,1.0,3,Partial,No,20-03-1979,House,NoSewr ,No Access,A,3.0,4.1,4.2,3.81,124498,29486,3276250
P07023,Adyar,1010,20-03-2009,121,1.0,1.0,3,Partial,Yes,25-03-1989,Others,NoSeWa,No Access,RM,3.6,3.7,3.6,3.62,304343,39270,9817500
P05923,KK Nagar,1502,30-11-2009,193,2.0,1.0,4,Normal Sale,No,03-12-1996,Commercial,NoSewr ,Paved,RH,4.9,4.5,4.7,4.7,466735,126145,12614460
P07853,Adyar,1070,11-07-2008,70,1.0,1.0,3,Family,No,20-07-1975,House,NoSeWa,Paved,RH,2.0,2.3,5.0,3.56,295275,101015,7770395
P01218,Chrompet,1022,18-10-2012,68,1.0,1.0,3,Normal Sale,No,26-10-1980,Others,ELO,Paved,RM,2.9,4.7,3.7,3.86,254496,81802,9089140
P01122,T Nagar,1993,10-12-2012,62,2.0,1.0,5,Family,Yes,13-12-2000,House,NoSeWa,Paved,RH,3.4,2.7,3.6,3.315,499629,216056,13503490
P08765,Anna Nagar,1994,29-08-2007,123,2.0,1.0,5,Partial,Yes,04-09-1983,Commercial,AllPub,Gravel,RH,2.9,3.6,2.5,2.915,597368,398245,22124730
P00148,Chrompet,1055,09-11-2014,70,1.0,1.0,3,AdjLand,Yes,14-11-1993,House,ELO,No Access,RM,4.5,4.3,3.0,3.97,267427,143264,9550950
P04834,Chrompet,726,22-06-2010,114,1.0,1.0,2,Partial,No,23-06-2004,Commercial,NoSewr ,Gravel,RL,4.2,4.5,4.7,4.47,331843,31110,10370100
P01897,KK Nagar,1921,19-01-2012,28,3.0,2.0,5,AdjLand,No,23-01-1995,Others,AllPub,Paved,RL,3.7,3.4,3.4,3.49,556393,124905,11354960
P02398,Chrompet,925,12-10-2011,164,1.0,1.0,3,AbNormal,Yes,18-10-1985,Others,AllPub,Paved,RM,4.6,3.0,2.9,3.45,269966,49994,9998750
P00570,Chrompet,885,29-12-2013,105,1.0,1.0,3,Partial,Yes,05-01-1988,Commercial,NoSeWa,No Access,RL,3.4,2.2,4.0,3.1,306838,76710,10958500
P02711,Chrompet,769,13-08-2011,69,1.0,1.0,2,AdjLand,Yes,14-08-2004,House,ELO,No Access,RH,2.5,2.6,3.0,2.69,203326,36308,7261650
P02007,Karapakkam,1020,28-12-2011,102,1.0,1.0,3,Partial,Yes,30-12-2003,Others,ELO,No Access,I,4.4,4.2,2.9,3.74,266622,55805,6200500
P01993,Anna Nagar,1579,01-01-2012,188,1.0,1.0,4,Family,Yes,08-01-1981,Others,NoSeWa,Gravel,RH,4.0,4.0,4.2,4.08,333138,102504,12812990
P05520,Karapakkam,1473,09-02-2010,80,2.0,2.0,4,Partial,Yes,12-02-2000,House,NoSewr ,Paved,RH,3.6,2.0,4.1,3.32,258912,100224,8352000
P07548,KK Nagar,1494,08-10-2008,157,2.0,1.0,4,AbNormal,No,14-10-1984,House,AllPub,Paved,RM,2.4,4.5,3.5,3.47,439670,93547,9354680
P07587,Chrompet,1241,26-09-2008,152,2.0,1.0,4,Partial,Yes,05-10-1973,House,NoSeWa,No Access,RL,3.7,3.8,3.4,3.65,286050,125147,8939050
P06911,KK Nagar,1460,21-04-2009,118,2.0,1.0,4,Family,No,25-04-1993,House,AllPub,Paved,RM,2.8,2.5,2.9,2.75,322466,128986,9213320
P08619,Adyar,1210,20-10-2007,95,2.0,2.0,4,AdjLand,Yes,22-10-1997,Others,NoSewr ,Paved,RH,2.9,4.8,3.9,3.78,426624,67362,11226950
P02637,Adyar,637,30-08-2011,197,1.0,1.0,2,Partial,Yes,01-09-2000,Commercial,AllPub,Paved,RL,3.0,2.6,4.3,3.57,391348,42308,10576965
P05910,Chrompet,714,01-12-2009,76,1.0,1.0,2,Normal Sale,Yes,05-12-1995,House,AllPub,No Access,RH,3.8,3.9,4.2,3.96,175993,91516,7039700
P09509,Chrompet,824,31-10-2006,166,1.0,1.0,3,AdjLand,Yes,01-11-2000,Commercial,NoSewr ,No Access,RL,3.6,2.4,4.1,3.27,370243,115701,11570100
P08435,Velachery,1863,02-01-2008,21,3.0,2.0,5,Family,Yes,14-01-1960,Others,ELO,Paved,RL,3.9,3.4,3.2,3.47,365556,77542,11077460
P06957,KK Nagar,1673,07-04-2009,47,2.0,1.0,4,AdjLand,Yes,11-04-1992,Commercial,NoSeWa,Gravel,RM,2.0,4.4,3.6,3.36,797727,341883,16280140
P06623,Velachery,1582,12-07-2009,50,2.0,1.0,4,AdjLand,No,18-07-1986,Others,ELO,Paved,C,3.8,2.4,3.2,2.99,277279,57087,8155260
P01745,Karapakkam,1088,15-02-2012,176,1.0,1.0,3,Family,No,24-02-1974,Commercial,ELO,Gravel,I,2.4,4.2,5.0,3.98,279923,118755,8482500
P01680,Karapakkam,1546,26-02-2012,105,2.0,2.0,4,AbNormal,No,09-03-1967,Others,NoSewr ,Gravel,RH,3.5,4.4,5.0,4.37,375323,158470,8340500
